Optimal order: 3
Type,Order,Mean,Std
Train,0,-4.4408920985006264e-17,8.881784197001254e-17
Train,1,0.7820692107221979,0.0006511845680942373
Train,2,0.9345609229811508,0.0003837177591649359
Train,3,0.9626102344609523,0.0002445690829637881
Train,4,0.9716086993735538,0.00023070542713613722
Test,0,-0.001123342860551091,0.0018523369952240655
Test,1,0.7810306073774875,0.005813528901672537
Test,2,0.9318464586647558,0.0035118554652859464
Test,3,0.9556090472874459,0.0023304671599921668
Test,4,0.9493732480171682,0.0036583616404288555
